Kyrie Irving,60,60,32.2,24.4,0.6,3.2,3.8,5.1,1.1,0.3,2.3,2.0,2.2
Jaylen Brown,70,70,30.7,14.5,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,0.9
Jayson Tatum,80,80,30.5,13.9,0.6,4.4,5.0,1.6,1.0,0.7,1.4,2.1,1.1
Marcus Morris Sr.,54,21,26.7,13.6,0.8,4.6,5.4,1.3,0.6,0.2,1.2,1.9,1.1
Al Horford,72,72,31.6,12.9,1.4,5.9,7.4,4.7,0.6,1.1,1.8,1.9,2.6
Terry Rozier,80,16,25.9,11.3,0.8,3.9,4.7,2.9,1.0,0.2,1.0,1.5,2.9
Greg Monroe,26,0,19.1,10.2,2.0,4.3,6.3,2.3,1.1,0.7,1.8,1.8,1.2
Marcus Smart,54,11,29.9,10.2,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,2.0
Jonathan Gibson,4,0,10.0,8.5,0.0,0.8,0.8,1.0,0.0,0.0,0.8,1.3,1.3
Aron Baynes,81,67,18.3,6.0,1.6,3.8,5.4,1.1,0.3,0.6,1.0,2.5,1.2
Daniel Theis,63,3,14.8,5.3,1.4,2.9,4.3,0.9,0.5,0.8,0.9,2.5,1.0
Shane Larkin,54,2,14.4,4.3,0.3,1.4,1.7,1.8,0.5,0.0,0.6,1.1,3.0
Abdel Nader,48,1,10.9,3.0,0.3,1.2,1.5,0.5,0.3,0.2,0.7,0.9,0.8
Jabari Bird,13,1,8.8,3.0,0.5,1.0,1.5,0.6,0.2,0.1,0.6,0.5,1.0
Semi Ojeleye,73,0,15.8,2.7,0.5,1.7,2.2,0.3,0.3,0.1,0.3,1.2,0.8
Guerschon Yabusele,33,4,7.1,2.4,0.5,1.1,1.6,0.5,0.1,0.2,0.4,0.7,1.3
Gordon Hayward,1,1,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Kadeem Allen,18,1,5.9,1.1,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.3
Xavier Silas,2,0,3.5,0.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.0
Jarell Eddie,2,0,3.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0
Nikola Mirotic,25,3,24.9,16.8,0.7,5.6,6.4,1.6,0.6,0.5,1.2,1.8,1.3
Zach LaVine,24,24,27.3,16.7,0.4,3.5,3.9,3.0,1.0,0.2,1.8,2.3,1.7
Sean Kilpatrick,9,1,23.8,15.4,0.3,2.4,2.8,1.4,0.7,0.3,1.3,0.9,1.1
Lauri Markkanen,68,68,29.7,15.2,1.2,6.3,7.5,1.2,0.6,0.6,1.2,1.5,1.0
Kris Dunn,52,43,29.3,13.4,0.5,3.8,4.3,6.0,2.0,0.5,2.9,3.3,2.1
Bobby Portis,73,4,22.5,13.2,2.2,4.6,6.8,1.7,0.7,0.3,1.4,1.8,1.2
Justin Holiday,72,72,31.5,12.2,0.4,3.6,4.0,2.1,1.1,0.4,1.3,1.9,1.6
Robin Lopez,64,64,26.4,11.8,2.1,2.4,4.5,1.9,0.2,0.8,1.7,1.7,1.2
Denzel Valentine,77,37,27.2,10.2,0.6,4.5,5.1,3.2,0.8,0.1,1.3,2.4,2.5
Cameron Payne,25,14,23.3,8.8,0.7,2.0,2.8,4.5,1.0,0.4,1.4,1.8,3.1
Jerian Grant,74,26,22.8,8.4,0.4,1.9,2.3,4.6,0.9,0.1,1.2,1.8,3.8
Antonio Blakeney,19,0,16.5,7.9,0.2,1.5,1.7,1.1,0.4,0.1,0.6,1.0,1.8
David Nwaba,70,21,23.5,7.9,1.3,3.4,4.7,1.5,0.8,0.4,1.1,2.3,1.4
Noah Vonleh,21,4,19.0,6.9,1.7,5.2,6.9,1.0,0.6,0.3,0.8,1.2,1.3
Cristiano Felicio,55,16,17.8,5.6,1.5,2.7,4.2,1.0,0.3,0.2,1.0,1.9,1.0
Paul Zipser,54,12,15.2,4.0,0.2,2.2,2.4,0.9,0.4,0.3,0.8,1.6,1.1
Kay Felder,14,0,9.6,3.9,0.1,0.9,1.0,1.4,0.2,0.1,1.1,0.8,1.3
Ryan Arcidiacono,24,0,12.7,2.0,0.0,1.0,1.0,1.5,0.5,0.0,0.5,0.8,2.7
Quincy Pondexter,23,1,8.5,2.0,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1.0,0.8
Omer Asik,4,0,15.3,1.0,0.5,2.0,2.5,0.3,0.3,0.5,1.0,1.5,0.3
Jarell Eddie,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Schroder,67,67,31.0,19.4,0.7,2.4,3.1,6.2,1.1,0.1,2.7,2.2,2.3
Taurean Prince,82,82,30.0,14.1,0.6,4.1,4.7,2.6,1.0,0.5,2.3,2.0,1.1
Kent Bazemore,65,65,27.5,12.9,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,1.5
Marco Belinelli,52,1,23.3,11.4,0.3,1.7,1.9,2.0,0.9,0.1,1.0,0.8,1.9
Ersan Ilyasova,46,40,25.5,10.9,1.6,3.8,5.5,1.1,1.0,0.4,0.9,2.0,1.2
Damion Lee,15,11,26.9,10.7,0.7,4.0,4.7,1.9,1.3,0.1,0.9,1.7,2.1
John Collins,74,26,24.1,10.5,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,0.9
Dewayne Dedmon,62,46,24.9,10.0,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,1.0
Mike Muscala,53,7,20.0,7.6,1.1,3.3,4.3,1.0,0.6,0.5,0.8,1.5,1.2
Tyler Dorsey,56,5,17.4,7.2,0.3,2.0,2.3,1.4,0.3,0.1,0.7,1.1,2.1
Isaiah Taylor,67,9,17.4,6.6,0.3,1.1,1.4,3.1,0.5,0.1,1.3,1.7,2.5
Malcolm Delaney,54,3,18.8,6.3,0.2,1.7,1.9,3.0,0.6,0.1,1.2,1.5,2.5
Luke Babbitt,37,9,15.4,6.1,0.1,2.1,2.2,0.7,0.2,0.1,0.4,1.3,1.7
DeAndre' Bembry,26,3,17.5,5.2,0.3,2.5,2.8,1.9,0.8,0.5,1.8,1.5,1.0
Tyler Cavanaugh,39,1,13.3,4.7,1.2,2.1,3.3,0.7,0.2,0.1,0.3,1.6,2.1
Jaylen Morris,6,0,16.3,4.7,0.3,2.3,2.7,1.2,0.3,0.2,1.0,0.3,1.2
Andrew White III,15,0,13.9,4.6,0.3,2.0,2.3,0.4,0.2,0.1,0.5,0.8,0.8
Miles Plumlee,55,35,16.7,4.3,1.4,2.7,4.1,0.8,0.3,0.5,1.1,1.4,0.7
Antonius Cleveland,4,0,10.5,3.3,0.3,0.8,1.0,0.0,0.3,0.3,1.3,3.0,0.0
Josh Magette,18,0,12.0,2.6,0.1,0.9,1.1,3.2,0.4,0.1,0.5,0.9,6.3
Jeremy Evans,1,0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Nicolas Brussino,4,0,2.5,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Lin,1,1,25.0,18.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,1.3
D'Angelo Russell,48,35,25.7,15.5,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,1.7
Rondae Hollis Jefferson,68,59,28.3,13.9,1.5,5.3,6.8,2.5,1.0,0.7,1.8,2.1,1.4
DeMarre Carroll,73,73,29.9,13.5,1.4,5.1,6.6,2.0,0.8,0.4,1.4,2.3,1.4
Allen Crabbe,75,68,29.3,13.2,0.4,3.9,4.3,1.6,0.6,0.5,1.0,2.2,1.5
Spencer Dinwiddie,80,58,28.8,12.6,0.5,2.7,3.2,6.6,0.9,0.3,1.6,2.3,4.1
Caris LeVert,71,10,26.3,12.1,0.7,2.9,3.7,4.2,1.2,0.3,2.2,2.2,2.0
Joe Harris,78,14,25.3,10.8,0.7,2.7,3.3,1.6,0.4,0.3,1.2,2.0,1.4
Trevor Booker,18,6,21.9,10.1,2.1,4.5,6.6,2.1,0.4,0.3,1.7,2.4,1.3
Jarrett Allen,72,31,20.0,8.2,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,0.6
Dante Cunningham,22,1,20.3,7.5,1.3,3.5,4.8,1.0,0.5,0.6,0.8,1.6,1.3
Tyler Zeller,42,33,16.7,7.1,1.5,3.1,4.6,0.7,0.2,0.5,0.8,1.9,0.8
Jahlil Okafor,26,0,12.6,6.4,0.7,2.3,2.9,0.4,0.1,0.6,0.7,1.7,0.6
Isaiah Whitehead,16,0,11.3,6.3,0.3,1.4,1.6,1.3,0.5,0.1,1.5,1.4,0.8
Quincy Acy,70,8,19.4,5.9,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,1.0
Nik Stauskas,35,0,13.7,5.1,0.1,1.7,1.8,1.1,0.1,0.1,0.6,0.6,1.7
Sean Kilpatrick,16,0,11.4,4.9,0.1,2.1,2.2,0.9,0.1,0.1,1.0,0.5,0.9
Timofey Mozgov,31,13,11.6,4.2,1.0,2.1,3.2,0.4,0.2,0.4,1.1,1.3,0.3
Milton Doyle,10,0,12.5,3.4,0.3,1.5,1.8,1.0,0.6,0.2,0.2,1.3,5.0
James Webb III,10,0,12.0,1.6,0.8,1.6,2.4,0.4,0.1,0.0,0.4,1.0,1.0
Jacob Wiley,5,0,6.6,0.8,0.4,1.8,2.2,0.4,0.2,0.0,0.0,0.8,INF
Rashad Vaughn,1,0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,INF
LeBron James,82,82,36.9,27.5,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,2.2
Kevin Love,59,59,28.0,17.6,1.7,7.5,9.3,1.7,0.7,0.4,1.5,2.0,1.1
Isaiah Thomas,15,14,27.1,14.7,0.5,1.6,2.1,4.5,0.6,0.1,2.7,1.7,1.7
Jordan Clarkson,28,0,22.6,12.6,0.5,1.6,2.1,1.7,0.7,0.1,1.1,1.6,1.5
Dwyane Wade,46,3,23.2,11.2,0.8,3.1,3.9,3.5,0.9,0.7,2.0,1.8,1.8
Jeff Green,78,14,23.4,10.8,0.8,2.4,3.1,1.3,0.5,0.4,1.0,1.9,1.3
Rodney Hood,21,11,25.3,10.8,0.4,2.2,2.6,1.4,0.7,0.2,0.3,2.0,4.3
Derrick Rose,16,7,19.3,9.8,0.6,1.2,1.8,1.6,0.2,0.3,1.8,0.9,0.9
George Hill,24,24,27.9,9.4,0.8,1.8,2.7,2.8,0.9,0.6,1.2,2.2,2.4
Kyle Korver,73,4,21.6,9.2,0.1,2.1,2.3,1.2,0.4,0.4,0.8,1.8,1.6
Larry Nance Jr.,24,9,20.8,8.9,2.2,4.8,7.0,1.0,1.2,0.8,0.4,2.5,2.5
Jae Crowder,53,47,25.4,8.6,0.8,2.5,3.3,1.1,0.8,0.2,0.8,2.3,1.4
JR Smith,80,61,28.1,8.3,0.4,2.6,2.9,1.8,0.9,0.1,1.0,2.0,1.7
Tristan Thompson,53,22,20.2,5.8,2.4,4.3,6.6,0.6,0.3,0.3,0.7,1.9,0.9
Channing Frye,44,1,12.4,4.8,0.2,2.3,2.5,0.6,0.4,0.3,0.4,1.2,1.6
Jose Calderon,57,32,16.0,4.5,0.2,1.2,1.5,2.1,0.5,0.0,0.7,1.4,2.9
Iman Shumpert,14,6,19.7,4.4,0.5,2.4,2.9,1.2,0.6,0.3,1.1,1.6,1.1
Cedi Osman,61,12,11.0,3.9,0.3,1.7,2.0,0.7,0.4,0.0,0.5,1.3,1.3
Ante Zizic,32,2,6.7,3.7,0.8,1.1,1.9,0.2,0.1,0.4,0.3,0.9,0.5
Kendrick Perkins,1,0,15.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0
John Holland,24,0,7.3,2.3,0.3,0.8,1.0,0.2,0.3,0.1,0.3,0.4,0.6
London Perrantes,14,0,4.7,0.5,0.1,0.2,0.3,0.4,0.1,0.1,0.1,0.4,5.0
Kemba Walker,80,80,34.2,22.1,0.4,2.7,3.1,5.6,1.1,0.3,2.2,1.2,2.5
Dwight Howard,81,81,30.4,16.6,3.1,9.3,12.5,1.3,0.6,1.6,2.6,3.1,0.5
Jeremy Lamb,80,18,24.6,12.9,0.6,3.4,4.1,2.3,0.8,0.4,1.2,1.7,2.0
Nicolas Batum,64,64,31.0,11.6,0.9,3.9,4.8,5.5,1.0,0.4,2.0,1.1,2.7
Frank Kaminsky,79,4,23.2,11.1,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,2.0
Marvin Williams,78,78,25.7,9.5,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,1.5
Michael Kidd-Gilchrist,74,74,25.0,9.2,1.1,2.9,4.1,1.0,0.7,0.4,0.7,1.9,1.3
Cody Zeller,33,0,19.0,7.1,2.0,3.3,5.4,0.9,0.4,0.6,1.0,2.5,0.9
Malik Monk,63,0,13.5,6.7,0.1,0.9,1.0,1.4,0.3,0.1,0.8,1.0,1.9
Willy Hernangomez,22,1,11.9,6.1,1.8,3.5,5.3,0.5,0.5,0.4,0.4,1.5,1.3
Johnny O'Bryant III,36,0,10.5,4.8,0.8,1.8,2.6,0.4,0.3,0.2,0.4,1.3,0.9
Michael Carter-Williams,52,2,16.1,4.6,0.7,1.9,2.7,2.2,0.8,0.4,1.0,1.9,2.2
Treveon Graham,63,2,16.7,4.3,0.7,1.3,1.9,0.9,0.5,0.0,0.4,1.7,2.2
Dwayne Bacon,53,6,13.5,3.3,0.1,2.3,2.3,0.7,0.3,0.0,0.4,0.9,1.7
Marcus Paige,5,0,5.6,2.4,0.0,0.8,0.8,0.6,0.0,0.0,0.0,0.0,INF
Mangok Mathiang,4,0,5.0,2.0,0.8,1.8,2.5,0.0,0.3,0.0,0.0,1.3,0.0
Julyan Stone,23,0,7.6,0.8,0.0,1.2,1.3,1.1,0.2,0.1,0.3,0.9,3.7
Kristaps Porzingis,48,48,32.4,22.7,1.3,5.3,6.6,1.2,0.8,2.4,1.9,2.9,0.6
Tim Hardaway Jr.,57,54,33.1,17.5,0.6,3.4,3.9,2.7,1.1,0.2,1.6,2.2,1.7
Enes Freedom,71,71,25.8,14.1,3.8,7.1,11.0,1.5,0.5,0.5,1.7,2.6,0.9
Michael Beasley,74,30,22.3,13.2,1.3,4.3,5.6,1.7,0.5,0.6,1.9,2.0,0.9
Trey Burke,36,9,21.8,12.8,0.4,1.6,2.0,4.7,0.7,0.1,1.2,1.2,4.0
Courtney Lee,76,69,30.4,12.0,0.4,2.6,2.9,2.4,1.1,0.2,1.1,1.4,2.1
Emmanuel Mudiay,22,14,22.4,8.8,0.5,2.2,2.6,3.9,0.9,0.3,1.9,1.5,2.1
Troy Williams,17,1,17.1,7.5,1.2,2.2,3.5,0.9,1.1,0.2,1.1,1.9,0.8
Jarrett Jack,62,56,25.0,7.5,0.4,2.7,3.1,5.6,0.6,0.1,1.9,1.6,3.0
Doug McDermott,55,1,21.3,7.2,0.6,1.8,2.4,0.9,0.2,0.2,0.6,1.3,1.5
Kyle O'Quinn,77,10,18.0,7.1,1.6,4.5,6.1,2.1,0.5,1.3,1.3,2.5,1.6
Luke Kornet,20,1,16.4,6.7,0.6,2.7,3.2,1.3,0.3,0.8,0.6,1.4,2.2
Frank Ntilikina,78,9,21.9,5.9,0.5,1.8,2.3,3.2,0.8,0.2,1.7,2.3,1.9
Isaiah Hicks,18,0,13.3,4.4,0.6,1.7,2.3,0.9,0.1,0.2,0.9,2.5,1.0
Willy Hernangomez,26,0,9.0,4.3,0.8,1.7,2.6,0.8,0.3,0.3,1.0,1.2,0.8
Damyean Dotson,44,2,10.8,4.1,0.2,1.7,1.9,0.7,0.3,0.0,0.4,0.8,1.8
Lance Thomas,73,31,18.5,4.1,0.6,1.8,2.4,0.6,0.4,0.2,0.6,1.8,1.1
Ramon Sessions,13,3,12.8,3.7,0.1,1.3,1.4,2.1,0.5,0.1,1.2,1.1,1.8
Ron Baker,29,1,13.3,2.4,0.2,0.9,1.0,1.6,0.9,0.2,0.6,1.1,2.6
Joakim Noah,7,0,5.7,1.7,0.9,1.1,2.0,0.6,0.3,0.3,0.6,0.7,1.0
Mindaugas Kuzminskas,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Griffin,25,25,33.2,19.8,1.1,5.6,6.6,6.2,0.4,0.4,2.6,2.4,2.3
Tobias Harris,48,48,32.6,18.1,0.8,4.3,5.1,2.0,0.7,0.3,1.1,1.9,1.8
Avery Bradley,40,40,31.7,15.0,0.5,1.9,2.4,2.1,1.2,0.2,2.3,2.0,0.9
Andre Drummond,78,78,33.7,15.0,5.1,10.9,16.0,3.0,1.5,1.6,2.6,3.2,1.2
Reggie Jackson,45,45,26.7,14.6,0.6,2.1,2.8,5.3,0.6,0.1,2.2,1.9,2.4
Reggie Bullock Jr.,62,52,27.9,11.3,0.4,2.0,2.5,1.5,0.8,0.2,0.8,1.1,2.0
Ish Smith,82,35,24.9,10.9,0.3,2.4,2.7,4.4,0.8,0.2,1.3,1.7,3.3
Anthony Tolliver,79,14,22.2,8.9,0.6,2.4,3.1,1.1,0.4,0.3,0.7,1.8,1.6
Stanley Johnson,69,50,27.4,8.7,0.5,3.2,3.7,1.6,1.4,0.2,1.1,2.4,1.5
Luke Kennard,73,9,20.0,7.6,0.3,2.1,2.4,1.7,0.6,0.2,0.9,1.2,1.8
James Ennis III,27,8,20.4,7.5,0.7,1.7,2.5,0.8,0.6,0.2,0.7,2.0,1.2
Dwight Buycks,29,0,14.7,7.4,0.4,1.0,1.4,2.0,0.7,0.1,1.3,1.3,1.5
Boban Marjanovic,19,1,9.0,6.2,0.8,2.2,3.0,0.7,0.2,0.3,1.2,1.5,0.6
Langston Galloway,58,2,14.9,6.2,0.2,1.4,1.6,1.0,0.6,0.1,0.3,0.7,3.2
Jon Leuer,8,0,17.0,5.4,0.9,3.1,4.0,0.6,0.1,0.4,0.9,2.0,0.7
Henry Ellenson,38,0,8.7,4.0,0.3,1.9,2.1,0.5,0.1,0.0,0.5,0.6,1.1
Jameer Nelson,7,0,16.6,3.7,0.3,0.9,1.1,3.3,0.6,0.1,1.6,2.0,2.1
Eric Moreland,67,3,12.0,2.1,1.2,2.9,4.1,1.2,0.5,0.8,0.6,1.7,1.9
Reggie Hearn,3,0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kay Felder,2,0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.5,0.0,0.0
Willie Reed,3,0,3.0,0.7,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,INF
Luis Montero,2,0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Goran Dragic,75,75,31.7,17.3,0.7,3.4,4.1,4.8,0.8,0.2,2.2,2.4,2.2
Dion Waiters,30,30,30.6,14.3,0.3,2.3,2.6,3.8,0.8,0.3,2.3,2.0,1.6
Hassan Whiteside,54,54,25.3,14.0,3.2,8.2,11.4,1.0,0.7,1.7,1.7,2.4,0.6
Josh Richardson,81,81,33.2,12.9,0.9,2.7,3.5,2.9,1.5,0.9,1.7,2.5,1.7
Dwyane Wade,21,0,22.2,12.0,0.5,2.9,3.4,3.1,0.9,0.7,2.3,1.9,1.4
Tyler Johnson,72,39,28.5,11.7,0.5,3.0,3.4,2.3,0.8,0.5,1.1,2.1,2.0
Kelly Olynyk,76,22,23.4,11.5,1.2,4.5,5.7,2.7,0.8,0.5,1.9,2.9,1.4
Wayne Ellington,77,2,26.5,11.2,0.3,2.5,2.8,1.0,0.7,0.1,0.7,1.2,1.5
James Johnson,73,41,26.6,10.8,0.8,4.1,4.9,3.8,1.0,0.7,1.9,2.6,2.0
Justise Winslow,68,25,24.7,7.8,0.9,4.5,5.4,2.2,0.8,0.5,1.1,2.1,1.9
Bam Adebayo,69,19,19.8,6.9,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,1.5
Rodney McGruder,18,2,16.6,5.1,0.6,1.2,1.8,0.9,0.4,0.2,0.2,1.2,4.3
Jordan Mickey,23,3,12.3,4.0,0.8,2.7,3.5,0.4,0.3,0.4,0.8,1.6,0.5
Derrick Jones Jr.,14,8,15.1,3.7,1.4,1.1,2.4,0.4,0.2,0.6,0.4,1.6,1.0
Okaro White,6,4,13.3,3.3,0.5,1.3,1.8,0.3,0.2,0.2,0.2,1.0,2.0
Luke Babbitt,13,5,11.2,2.5,0.2,1.0,1.2,0.4,0.1,0.2,0.3,0.5,1.3
Derrick Walton Jr.,16,0,9.2,1.8,0.1,0.9,1.0,1.0,0.4,0.2,0.1,0.4,8.0
Matt Williams Jr.,3,0,3.7,1.7,0.0,0.3,0.3,0.0,0.0,0.0,0.3,0.3,0.0
Udonis Haslem,14,0,5.1,0.6,0.2,0.5,0.7,0.4,0.0,0.1,0.1,0.2,2.5
Joel Embiid,63,63,30.3,22.9,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,0.9
JJ Redick,70,70,30.2,17.1,0.1,2.4,2.5,3.0,0.5,0.1,1.5,1.8,2.0
Ben Simmons,81,81,33.7,15.8,1.8,6.3,8.1,8.2,1.7,0.9,3.4,2.6,2.4
Dario Saric,78,73,29.6,14.6,2.0,4.7,6.7,2.6,0.7,0.3,1.9,2.1,1.4
Marco Belinelli,28,1,26.3,13.6,0.2,1.6,1.8,1.6,0.7,0.3,1.4,1.8,1.1
Robert Covington,80,80,31.6,12.6,0.7,4.7,5.4,2.0,1.7,0.9,1.6,3.0,1.2
Ersan Ilyasova,23,3,24.1,10.8,1.9,4.8,6.7,1.7,0.7,0.4,1.3,2.8,1.3
Jerryd Bayless,39,11,23.7,7.9,0.4,1.7,2.1,1.4,0.6,0.2,1.2,2.3,1.2
Markelle Fultz,14,0,18.1,7.1,0.8,2.3,3.1,3.8,0.9,0.3,1.2,1.6,3.1
Richaun Holmes,48,2,15.5,6.5,1.2,3.2,4.4,1.3,0.4,0.6,0.5,2.0,2.4
T.J. McConnell,76,1,22.4,6.3,0.5,2.5,3.0,4.0,1.2,0.2,1.5,1.6,2.7
Justin Anderson,38,0,13.7,6.2,0.7,1.8,2.4,0.7,0.4,0.2,0.4,1.4,1.6
Timothe Luwawu-Cabarrot,52,7,15.5,5.8,0.3,1.1,1.4,1.0,0.2,0.1,0.7,1.9,1.4
Jahlil Okafor,2,0,12.5,5.0,2.0,2.5,4.5,0.5,0.0,1.0,1.5,3.5,0.3
